business_id,name,address,city,state,latitude,longitude,ranking
qI7j_4UGb3w6f9j5c7lC6Q,Mister Softee,901 E Clements Bridge Rd,Runnemede,NJ,39.858601,-75.063208,1
u2-AUzKkJIRm8uNgD-mRlQ,Rochester's Barbecue & Grill,130 White Horse Pike N,Lawnside,NJ,39.8676637279,-75.0418403615,2
-6L7ckMsebhvS_nk4wjhIA,Slice Pizzeria,653 Clements Bridge Rd,Barrington,NJ,39.865277,-75.055112,3
MuOqS6eZSBdvbSaiE_5d7g,Vito's Pizza N' Sub Shop,113 Clements Bridge Rd,Barrington,NJ,39.8731156781,-75.0510535679,4
-dlU_Vr-5-szuLZteMWy6A,Little Sicily,513 Warwick Rd,Somerdale,NJ,39.850398,-75.032795,5
JBYKW1ZEt_lryYanq2O-_A,Dunkin',263 White Horse Pike N,Lawnside,NJ,39.8698940719,-75.04216336,6
EYZZlLKrLIh4WWUPFmXxpg,Carmen's Deli,42 E Browning Rd,Bellmawr,NJ,39.8662282,-75.0774038,7
Di96sKUk5wo5P1bM3pv4FQ,ShopRite of Lawnside,130 N. White Horse Pike,Lawnside,NJ,39.8682559847,-75.0431167629,8
TyG_RravUK9gbpj3G5PNyQ,Ephesus Grill,304 E Evesham Rd,Glendora,NJ,39.845865,-75.065451,9
eit5kQ26NlqvwSPj-nz30Q,Pat's Pizzeria,325 N Black Horse Pike,Runnemede,NJ,39.8519102,-75.0741872,10
5Kn1o2ryylzHMQVNFy5pyA,Anthony's Creative Italian Cuisine,512 Station Ave,Haddon Heights,NJ,39.8827732,-75.057487,11
OcPVoTYp3x-Dc1ZmIQ4lcQ,Fratelli's Pizza,307 E Evesham Rd,Runnemede,NJ,39.8471253,-75.0633138,12
oeOKkk67d3NTCXl24HOp2w,State of New Jersey Motor Vehicle Comission,"835 E Clements Bridge Rd, Runnemede Plaza",Runnemede,NJ,39.8571254549,-75.0635956155,13
yb_vFGYFUMh2aA4UHnSseA,Marino's Pizza,100 N Black Horse Pike,Runnemede,NJ,39.8501052,-75.073006,14
Na1SLUt0rQ0X72JH_2LVJA,No 1 Chinese Food,649 Clements Bridge Rd,Barrington,NJ,39.8651996,-75.0552625,15
StlMQ9_9Vk5vH2BHKaQRaA,Oishi Sushi Japanese & Chinese Food,"835 E Clements Bridge Rd, Ste 6",Runnemede,NJ,39.8571666,-75.0637612,16
RmGrmzGAx7bmCa4t3T1YEg,Super Wok,517 N Warwick Rd,Somerdale,NJ,39.8505193,-75.032769,17
yq6QpxblbjGnqmEeeukfYg,Yummy Yummy,115 S Black Horse Pike,Bellmawr,NJ,39.8653498,-75.0784989,18
lTkkSkvVhJIbHqVJKv6w9w,Classic Asia,611 Station Ave,Haddon Heights,NJ,39.882151,-75.059349,19
TJ4tXO0qGsLwyxTaj_Jspw,Wok 'N Roll,807 W Evesham Ave,Magnolia,NJ,39.8510878,-75.0484426,20
9tS0_GDrcNveAbSCuDTFnA,Jane's Tea House,602 Station Ave,Haddon Heights,NJ,39.8819668,-75.0587901,21
WnMl9qwB4CGhm-ToOwClvw,MAMA's Indian Kitchen & Food Mart,331 White Horse Pike N,Magnolia,NJ,39.858725,-75.029691,22
lNOab7pDoLn6tVkksgKQYQ,La Matta Pizza,681 E Evesham Rd,Runnemede,NJ,39.8492852,-75.0573273,23
l920q9aMfPWJ0Jq11rkfkQ,Chick-fil-A,301 White Horse Pike,Barrington,NJ,39.8725900065,-75.0451647776,24
-C0DXAsxofWlGIcY1y-edQ,Church's Chicken,210 White Horse Pike,Lawnside,NJ,39.8688459,-75.0421085,25
WdUiTm8EZ6l9ukq9Hh32PA,Trouble Brewing Coffee House,514 Station Ave,Haddon Heights,NJ,39.8827441513,-75.0576453715,26
3EXrZSNJd7RlEHYWP6Xsuw,San Pedro Tierra Mexican,115 S Black Horse Pike,Bellmawr,NJ,39.8653498,-75.0784989,27
dWOSZcAEt3sRXshh4Z8KGw,El Tequila,801 N Black Horse Pike,Runnemede,NJ,39.8557399,-75.075556,28
uoUZ8Wx7Aw7Nj6QIxaCjew,The Avocado Mexican Grill,603 N Black Horse Pike,Runnemede,NJ,39.8539237,-75.0749525,29
hOCBl_QltuMzYOcb2juGoQ,Chopstix House,249 White Horse Pike N,Lawnside,NJ,39.8698308907,-75.0420139133,30
NMrp7FFmZqV45i4TZ-DVkg,Oriental Palace,200 White Horse Pike N,Lawnside,NJ,39.867442,-75.0422327,31
y8qe5iBIYuSWdVqqWscRtg,Watami Sushi,657 Clements Bridge Rd,Barrington,NJ,39.8653728,-75.0551598,32
HwO0dgp-2mv8EZqI4eWi9w,Ginza Japanese & Asian Restaurant,327 N Black Horse Pike,Runnemede,NJ,39.8517756,-75.0738671,33
X0hWkMBvDTPz2oJwkHajmg,Carosello Pizza & Pasta,835 E Clements Bridge Rd,Runnemede,NJ,39.8571666,-75.0637612,34
10Bq-D7cUzwvY5pUJPWhmw,Ralph's Pizza & Francesca's Room,520 Station Ave,Haddon Heights,NJ,39.882583,-75.0577742,35
wtaBPP6fCHU4nvar9fKeuQ,"Chuck Lager, America's Tavern",270 White Horse Pike,Barrington,NJ,39.8725486282,-75.0463546729,36
yFrX5aM1_mKdRb9s4fQSMw,Wawa,280 White Horse Pike,Barrington,NJ,39.871766,-75.045256,37
frjcpNfDx3dnCi-8YCVXVQ,Wawa,825 North Black Horse Pk,Runnemede,NJ,39.8563548,-75.0758526,38
5LMTmQJBxP9aONuu8KhLbw,McDonald's,700 White Hourse Pike N,Magnolia,NJ,39.862328,-75.033963,39
av9TaTSDj96rDEeL5G8N8g,Wawa,101 Warwick Rd,Magnolia,NJ,39.8547141,-75.0322281,40
EgV5P2n0pgQmkPM9lq41Ag,Wendy's,310 Whitehorse Pike N,Lawnside,NJ,39.8693033386,-75.0425876276,41
RsGp61dhtKNonHqaUQQniw,Somerdale Cold Cuts,501 Warwick Rd,Somerdale,NJ,39.850103,-75.032732,42
bQDwX5wKDfwS-iqCGTzKKQ,Popeyes Louisiana Kitchen,16 White Horse Pike N,Lawnside,NJ,39.866676,-75.0396,43
28kRRxTUSYpWncMGIDHpFA,Wendy's,300 South Blackhorse Pike,Bellmawr,NJ,39.8634027259,-75.0784824184,44
crBJJE22QaFc2_Q49hbeLA,Arby's,804 White Horse Pike N,Magnolia,NJ,39.862618,-75.0353422,45
GOiJUF6wW5ugXd_4u4lKpA,Redhouse Bagels - Bellmawr,115 S Black Horse Pike,Bellmawr,NJ,39.8653498,-75.0784989,46
HoxAwFKunUzqscWtOnA9sg,Little Jalapeno,118 Clements Bridge Rd,Barrington,NJ,39.8723872,-75.050665,47
AP6BBC-ZM4ngscU7p4Bnxg,Old Rail Tavern,101 Clements Bridge Rd,Barrington,NJ,39.8736521,-75.0508703,48
uuONmQ_R345NlJp_oM7jaA,The Mile,212 N Black Horse Pike,Runnemede,NJ,39.851514,-75.0733203,49
TaYJfvjk0kLMnS-gQd28bw,Dominic's Tavern,100 E Browning Rd,Bellmawr,NJ,39.8655982,-75.0746134,50
